Package,LibPath,Version,Priority,Depends,Imports,NeedsCompilation,Built,where_at,source
duckdb,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.8,NA,"DBI, R (>= 3.6.0)","methods, utils",yes,4.1.0,CRAN,NA
dummies,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.5.6,NA,utils,NA,NA,4.1.0,CRAN,NA
dygraphs,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.1.6,NA,R (>= 3.0),"magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",no,4.1.0,CRAN,NA
e1071,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.7-6,NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",yes,4.1.0,CRAN,NA
earth,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,5.3.0,NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.6.0),
TeachingDemos (>= 2.10)",NA,yes,4.1.0,CRAN,NA
ellipse,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.4.2,NA,"R (>= 2.0.0),graphics,stats",NA,no,4.1.0,CRAN,NA
ellipsis,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.2,NA,R (>= 3.2),rlang (>= 0.3.0),yes,4.1.0,CRAN,NA
emmeans,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.6.0,NA,R (>= 3.5.0),"estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",no,4.1.0,CRAN,NA
emo,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.0.9000,NA,R (>= 2.10),"stringr, glue (>= 1.3.0), crayon, utils, magrittr, assertthat,
lubridate, rlang, purrr",no,4.1.0,hadley/emo,GitHub
enc,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,R (>= 3.1),methods,yes,4.1.0,CRAN,NA
epoxy,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.2.9000,NA,NA,"glue, htmltools, knitr, purrr, rlang, rmarkdown, shiny,
stringr, whisker",no,4.1.0,gadenbuie/epoxy,GitHub
ermoji,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.0,NA,NA,"clipr, DT, emo, miniUI, rstudioapi, shiny",no,4.1.0,gadenbuie/ermoji,GitHub
espnscrapeR,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.6.4,NA,NA,"dplyr (>= 1.0), tidyr (>= 1.0), httr, rvest, tibble, xml2,
purrr, glue, jsonlite, stringr, janitor, readr, gt (>= 0.3),
scales",no,4.1.0,jthomasmock/espnscrapeR,GitHub
estimability,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3,NA,stats,NA,no,4.1.0,CRAN,NA
etl,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.4.0,NA,"R (>= 2.10), dplyr","DBI, datasets, downloader, fs, janitor, lubridate, methods,
readr, rlang, rvest, tibble, usethis, utils, xml2",no,4.1.0,CRAN,NA
evaluate,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.14,NA,R (>= 3.0.2),methods,no,4.1.0,CRAN,NA
extrafont,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.17,NA,R (>= 2.15),"extrafontdb, grDevices, utils, Rttf2pt1",no,4.1.0,CRAN,NA
extrafontdb,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0,NA,R (>= 2.14),NA,NA,4.1.0,CRAN,NA
fabletools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.1,NA,R (>= 3.1.3),"tsibble (>= 0.9.0), tibble (>= 1.4.1), ggplot2 (>= 3.0.0),
tidyselect, rlang (>= 0.4.5), stats, dplyr (>= 1.0.0), tidyr
(>= 1.1.0), generics, R6, utils, vctrs (>= 0.2.2),
distributional, progressr, lifecycle",no,4.1.0,CRAN,NA
factoextra,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.7,NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",no,4.1.0,CRAN,NA
FactoMineR,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.4,NA,R (>= 3.5.0),"car,cluster,DT,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",no,4.1.0,CRAN,NA
fansi,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.5.0,NA,R (>= 3.1.0),"grDevices, utils",yes,4.1.0,CRAN,NA
farver,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.1.0,NA,NA,NA,yes,4.1.0,CRAN,NA
fastmap,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,NA,NA,yes,4.1.0,CRAN,NA
fastrmodels,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.2,NA,R (>= 3.5.0),xgboost (>= 1.1),no,4.1.0,CRAN,NA
feasts,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.1,NA,"R (>= 3.5.0), fabletools (>= 0.3.1)","rlang (>= 0.2.0), tibble (>= 1.4.1), tsibble (>= 0.9.0),
ggplot2 (>= 3.0.0), dplyr (>= 1.0.0), tidyr (>= 0.8.3), scales
(>= 1.1.0), vctrs, lubridate, grid, slider, utils, lifecycle",no,4.1.0,CRAN,NA
feather,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.5,NA,NA,"Rcpp, tibble (>= 2.0.0), hms",yes,4.1.0,CRAN,NA
fields,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,11.6,NA,"R (>= 3.0), methods, spam",maps,yes,4.1.0,CRAN,NA
filelock,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.2,NA,NA,NA,yes,4.1.0,CRAN,NA
flashClust,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.01-2,NA,R (>= 2.3.0),NA,NA,4.1.0,CRAN,NA
flexdashboard,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.5.2,NA,R (>= 3.0.2),"tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.10.3), shiny (>= 0.13)",no,4.1.0,CRAN,NA
flexmix,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.3-17,NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",no,4.1.0,CRAN,NA
flextable,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.6.6,NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.3.17),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc",no,4.1.0,CRAN,NA
FNN,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.3,NA,R (>= 3.0.0),NA,yes,4.1.0,CRAN,NA
fontawesome,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,R (>= 3.3.0),"rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",no,4.1.0,CRAN,NA
forcats,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.5.1,NA,R (>= 3.2),"ellipsis, magrittr, rlang, tibble",no,4.1.0,CRAN,NA
foreach,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.5.1,NA,R (>= 2.5.0),"codetools, utils, iterators",no,4.1.0,CRAN,NA
forecast,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,8.14,NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo",yes,4.1.0,CRAN,NA
foreign,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.8-81,recommended,R (>= 4.0.0),"methods, utils, stats",yes,4.1.0,CRAN,NA
formattable,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.1,NA,R (> 3.0.2),"methods, htmltools, htmlwidgets, knitr, rmarkdown",no,4.1.0,CRAN,NA
Formula,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.2-4,NA,"R (>= 2.0.0), stats",NA,no,4.1.0,CRAN,NA
formula.tools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.7.1,NA,R (>= 3.0.0),"operator.tools(>= 1.4.0), utils, methods",no,4.1.0,CRAN,NA
fpc,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.2-9,NA,R (>= 2.0),"MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",no,4.1.0,CRAN,NA
fracdiff,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.5-1,NA,NA,stats,yes,4.1.0,CRAN,NA
fresh,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.0,NA,NA,"sass, htmltools, shiny, rstudioapi",no,4.1.0,CRAN,NA
friends,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.0,NA,R (>= 2.10),tibble,no,4.1.0,CRAN,NA
fs,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.5.0,NA,R (>= 3.1),methods,yes,4.1.0,CRAN,NA
furrr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 0.2.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",no,4.1.0,CRAN,NA
future,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.21.0,NA,NA,"digest, globals (>= 0.13.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.21.0), tools, utils",no,4.1.0,CRAN,NA
future.apply,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.7.0,NA,"R (>= 3.2.0), future (>= 1.17.0)","globals (>= 0.12.5), parallel, utils",no,4.1.0,CRAN,NA
fuzzyjoin,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.6,NA,R (>= 2.10),"stringdist, stringr, dplyr (>= 0.8.1), tidyr (>= 0.4.0),
purrr, geosphere, tibble",no,4.1.0,CRAN,NA
gameofthrones,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.2,NA,R (>= 3.5.0),"ggplot2 (>= 1.0.1), gridExtra, MASS",no,4.1.0,CRAN,NA
gapminder,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.0,NA,R (>= 3.1.0),tibble,no,4.1.0,CRAN,NA
gargle,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,R (>= 3.3),"cli (>= 2.3.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, withr",no,4.1.0,CRAN,NA
gdata,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.18.0,NA,R (>= 2.3.0),"gtools, stats, methods, utils",no,4.1.0,CRAN,NA
gdtools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.3,NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)",yes,4.1.0,CRAN,NA
generics,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.0,NA,R (>= 3.1),methods,no,4.1.0,CRAN,NA
genius,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.2.2,NA,R (>= 3.1.2),"dplyr (>= 0.7.0), rvest, stringr, tidyr, purrr, readr, tibble,
tidytext, reshape2, rlang",no,4.1.0,CRAN,NA
geofacet,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.0,NA,R (>= 3.2),"ggplot2 (>= 3.2.1), gtable, graphics, rnaturalearth, sp, sf,
ggrepel, imguR, gridExtra, geogrid, methods",no,4.1.0,CRAN,NA
geogrid,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.1,NA,NA,"methods, sp, sf, rgeos, Rcpp",yes,4.1.0,CRAN,NA
geojsonsf,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.0.1,NA,R (>= 3.3.0),Rcpp,yes,4.1.0,CRAN,NA
geometries,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.0,NA,NA,Rcpp,yes,4.1.0,CRAN,NA
geosphere,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.5-10,NA,R (>= 3.0.0),sp,yes,4.1.0,CRAN,NA
gert,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3.0,NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",yes,4.1.0,CRAN,NA
getPass,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2-2,NA,R (>= 3.0.0),"utils, rstudioapi (>= 0.5)",yes,4.1.0,CRAN,NA
gfonts,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.2,NA,R (>= 2.10),"utils, htmltools, shiny, crul, jsonlite, glue, usethis",no,4.1.0,CRAN,NA
ggalt,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.4.0,NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",no,4.1.0,CRAN,NA
gganimate,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.7,NA,ggplot2 (>= 3.0.0),"stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",no,4.1.0,CRAN,NA
ggbeeswarm,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.6.0,NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",no,4.1.0,CRAN,NA
ggdist,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.0.0,NA,R (>= 3.5.0),"tidyselect, dplyr (>= 1.0.0), ggplot2 (>= 3.3.5), rlang (>=
0.3.0), scales, grid, HDInterval, tibble, vctrs, withr,
distributional (>= 0.2.0)",no,4.1.0,CRAN,NA
ggExtra,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.9,NA,R (>= 3.1.0),"colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",no,4.1.0,CRAN,NA
ggforce,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.2.9000,NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils",yes,4.1.0,thomasp85/ggforce,GitHub
ggfx,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.0.9000,NA,NA,"magick (>= 2.7.1), ragg, grid, ggplot2, grDevices, gtable,
rlang",no,4.1.0,thomasp85/ggfx,GitHub
gghighlight,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.1,NA,"ggplot2 (>= 3.0.0), R (>= 3.2.0)","dplyr (>= 1.0.0), ggrepel, lifecycle, purrr, rlang, tibble",no,4.1.0,CRAN,NA
ggimage,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.8,NA,"R (>= 3.4.0), ggplot2","ggplotify, grid, jsonlite, magick, methods, rvcheck (>=
0.1.0), scales, tibble, tools",no,4.1.0,CRAN,NA
ggiraph,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.7.9,NA,NA,"grid, ggplot2 (>= 3.3.0), htmlwidgets (>= 0.6), stats,
htmltools, Rcpp (>= 0.12.12), systemfonts, purrr, rlang, uuid",yes,4.1.0,CRAN,NA
ggmap,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.0.0,NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",no,4.1.0,CRAN,NA
ggpattern,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.3,NA,NA,"ggplot2, scales, grid, glue, rlang, tibble, gridGeometry, sf,
png, magick, memoise",no,4.1.0,coolbutuseless/ggpattern,GitHub
ggplot2,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.3.5.9000,NA,R (>= 3.3),"digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",no,4.1.0,tidyverse/ggplot2,GitHub
ggplotify,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.7,NA,R (>= 3.4.0),"ggplot2, graphics, grDevices, grid, gridGraphics, rvcheck",no,4.1.0,CRAN,NA
ggpubr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.4.0,NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",no,4.1.0,CRAN,NA
ggrepel,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.9.1,NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)",yes,4.1.0,CRAN,NA
ggridges,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.5.3,NA,R (>= 3.2),"ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",no,4.1.0,CRAN,NA
ggsci,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.9,NA,R (>= 3.0.2),"grDevices, scales, ggplot2 (>= 2.0.0)",no,4.1.0,CRAN,NA
ggsignif,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.6.1,NA,NA,ggplot2 (>= 3.3.3),no,4.1.0,CRAN,NA
ggsn,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.5.0,NA,"R (>= 3.4), ggplot2, grid","sf, png, maptools, ggmap, graphics, utils",no,4.1.0,CRAN,NA
ggtext,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.1,NA,R (>= 3.5),"ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",no,4.1.0,CRAN,NA
ggthemes,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.2.4,NA,R (>= 3.3.0),"ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",no,4.1.0,CRAN,NA
gh,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3.0,NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",no,4.1.0,CRAN,NA
gifski,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.4.3-1,NA,NA,NA,yes,4.1.0,CRAN,NA
gistfo,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.2.9000,NA,R (>= 3.4.0),"gistr (>= 0.4.0), glue (>= 1.1.1), R6, rstudioapi (>= 0.6)",no,4.1.0,MilesMcBain/gistfo,GitHub
gistr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.9.0,NA,NA,"jsonlite, crul, httr, magrittr, assertthat, knitr, rmarkdown,
dplyr",no,4.1.0,CRAN,NA
git2r,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.28.0,NA,R (>= 3.1),"graphics, utils",yes,4.1.0,CRAN,NA
gitcreds,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.1,NA,NA,NA,no,4.1.0,CRAN,NA
glmnet,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1-1,NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival",yes,4.1.0,CRAN,NA
globals,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.14.0,NA,R (>= 3.1.2),codetools,no,4.1.0,CRAN,NA
glue,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.4.2,NA,R (>= 3.2),methods,yes,4.1.0,CRAN,NA
gmailr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.0,NA,R (>= 3.0.0),"base64enc, crayon, gargle, httr, jsonlite, lifecycle,
magrittr, mime, rematch2",no,4.1.0,CRAN,NA
gmodels,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.18.1,NA,R (>= 1.9.0),"MASS, gdata",no,4.1.0,CRAN,NA
googleAnalyticsR,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.0,NA,R (>= 3.3.0),"assertthat (>= 0.2.0), cli (>= 2.0.2), dplyr (>= 0.8.0),
googleAuthR (>= 1.4.0), httr (>= 1.3.1), jsonlite (>= 1.5),
magrittr (>= 1.5), measurementProtocol, memoise, methods, purrr
(>= 0.2.2), rlang (>= 0.4.7), stats, tibble (>= 2.0.1), tidyr
(>= 1.0.0), usethis, utils, whisker",no,4.1.0,CRAN,NA
googleAuthR,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.4.0,NA,R (>= 3.3.0),"assertthat (>= 0.2.0), cli (>= 2.0.2), digest, gargle (>=
1.1.0), httr (>= 1.4.0), jsonlite (>= 1.6), memoise (>= 1.1.0),
rlang, utils",no,4.1.0,CRAN,NA
googledrive,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.1,NA,R (>= 3.2),"curl (>= 2.8.1), gargle (>= 0.3.1), glue (>= 1.2.0), httr,
jsonlite, magrittr, purrr (>= 0.2.3), rlang (>= 0.3.1), tibble
(>= 2.0.0), utils, uuid",no,4.1.0,CRAN,NA
googlePolylines,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.8.2,NA,NA,Rcpp (>= 0.12.13),yes,4.1.0,CRAN,NA
googlesheets,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.0,NA,R (>= 3.2.0),"cellranger (>= 1.0.0), dplyr (>= 0.4.2), httr (>= 1.1.0),
jsonlite, purrr, readr (>= 0.2.2), stats, stringr, tibble,
tidyr, utils, xml2 (>= 1.0.0)",no,4.1.0,CRAN,NA
googlesheets4,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.0,NA,R (>= 3.2),"cellranger, curl, gargle (>= 1.0.0), glue (>= 1.3.0),
googledrive (>= 1.0.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang, tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",no,4.1.0,CRAN,NA
gower,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,NA,NA,yes,4.1.0,CRAN,NA
GPfit,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0-8,NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",no,4.1.0,CRAN,NA
gridExtra,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.3,NA,NA,"gtable, grid, grDevices, graphics, utils",no,4.1.0,CRAN,NA
gridGeometry,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2-0,NA,"R (>= 3.6.0), grid","grDevices, polyclip (>= 1.10-0)",no,4.1.0,CRAN,NA
gridGraphics,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.5-1,NA,"grid, graphics",grDevices,no,4.1.0,CRAN,NA
gridSVG,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.7-2,NA,NA,"grDevices, graphics, utils, methods, grid, jsonlite, XML",no,4.1.0,CRAN,NA
gridtext,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.4,NA,R (>= 3.5),"grid, grDevices, markdown, rlang, Rcpp, RCurl, png, jpeg,
stringr, xml2",yes,4.1.0,CRAN,NA
grkstyle,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.3,NA,NA,"magrittr, purrr, styler (>= 1.4.0)",no,4.1.0,gadenbuie/grkstyle,GitHub
gsisdecoder,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.1,NA,NA,Rcpp,yes,4.1.0,CRAN,NA
gsubfn,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.7,NA,proto,NA,no,4.1.0,CRAN,NA
gt,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.1,NA,R (>= 3.2.0),"base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
commonmark (>= 1.7), dplyr (>= 0.8.5), fs (>= 1.3.2), ggplot2
(>= 3.3.0), glue (>= 1.3.2), htmltools (>= 0.5.0), magrittr (>=
1.5), rlang (>= 0.4.5), sass (>= 0.1.1), scales (>= 1.1.0),
stringr (>= 1.3.1), tibble (>= 3.0.0), tidyselect (>= 1.0.0)",no,4.1.0,rstudio/gt,GitHub
gtable,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.0,NA,R (>= 3.0),grid,no,4.1.0,CRAN,NA
gtExtras,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.3,NA,NA,"base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
dplyr (>= 0.8.5), fs (>= 1.3.2), ggplot2 (>= 3.3.0), glue (>=
1.3.2), gt (>= 0.3), htmltools (>= 0.5.0), magrittr (>= 1.5),
rlang (>= 0.4.5), sass (>= 0.1.1), scales (>= 1.1.0), stringr
(>= 1.3.1), tibble (>= 3.0.0), tidyselect (>= 1.0.0), svglite
(>= 1.2.0.9001), paletteer, fontawesome, webshot",no,4.1.0,jthomasmock/gtExtras,GitHub
gtools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.8.2,NA,"methods, stats, utils",NA,yes,4.1.0,CRAN,NA
gtsummary,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.4.0.9007,NA,R (>= 3.4),"broom (>= 0.7.6), broom.helpers (>= 1.3.0), cli (>= 2.3.0),
dplyr (>= 1.0.3), forcats (>= 0.5.0), glue (>= 1.4.1), gt (>=
0.3.0), knitr (>= 1.29), lifecycle (>= 0.2.0), purrr (>=
0.3.4), rlang (>= 0.4.10), stringr (>= 1.4.0), survival, tibble
(>= 3.0.3), tidyr (>= 1.1.1)",no,4.1.0,ddsjoberg/gtsummary,GitHub
hardhat,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.5,NA,R (>= 2.10),"glue, rlang (>= 0.4.1), tibble, vctrs (>= 0.3.0)",no,4.1.0,CRAN,NA
harrypotter,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.1.1,NA,R (>= 2.10),"ggplot2 (>= 1.0.1), gridExtra",no,4.1.0,CRAN,NA
haven,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.4.1,NA,R (>= 3.2),"forcats (>= 0.2.0), hms, methods, readr (>= 0.1.0), rlang (>=
0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)",yes,4.1.0,CRAN,NA
HDInterval,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,NA,NA,no,4.1.0,CRAN,NA
here,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.1,NA,NA,rprojroot (>= 2.0.2),no,4.1.0,CRAN,NA
